Name,Code,Street Address,Suite,Zip,City,State,Claim Phone,Auth Phone,Cert Period (Days),Copay Applicable?,Claims Due In (Days)
AARP,10,AARP Claims Unit MSC  ,,30374,ATLANTA,GA ,800-227-7789,,Missing,Missing,Missing
AETNA,29,PO Box 14079 ,,40512,Lexington,KY ,,,Missing,Missing,Missing
Blue Cross California,4,P.O. Box 4185 ,,91365,WOODLAND HILLS,CA ,800-777-3368,,Missing,Missing,Missing
Blue Cross PPO,17,PO Box 60007,,900600007,Los Angeles,CA ,,,Missing,Missing,Missing
Blue Shield of California,7,P.O. Box 272540 ,,95927,CHICO,CA ,800-541-6652,,Missing,Missing,Missing
Caremore Health Plan,39,12900 Park Plaza Drive ,,90703,CERRITOS,CA ,,,Missing,Missing,Missing
Central Health Plan of California,40,1540 Bridgegate Drive ,,91765,DIAMOND BAR,CA ,,,Missing,Missing,Missing
Cigna Health Care,19,Po Box 182223 ,,37422,CHATTANOOGA,TN ,,,Missing,Missing,Missing
Community HH of San Bernardino,30,,,92411,SAN BERNARDINO,CA ,,,Missing,Missing,Missing
Curascript,15,9568 Archibald Ave. ,,91730,RANCHO CUCAMONGA,CA ,,,Missing,Missing,Missing
Environmental Systems,44,,,,,,,,Missing,Missing,Missing
Frank Gates Service Co.,27,P.O. Box 1288 ,,72712,BENTONVILLE,AR ,,,Missing,Missing,Missing
GE Pensioners MSC,8,P.O. Box 740801 ,,30374,ATLANTA,GA ,800-848-8406,,Missing,Missing,Missing
Gentiva Carecentrix,23,111 Founders Plaza ,Suite 801,6108,EAST HARTFORD,CT ,,,Missing,Missing,Missing
GTE,12,,,,,,714-671-8000,,Missing,Missing,Missing
Health Care Partners Medical Group,34,PO Box 6099 ,,905040099,Torrance,CA ,,,Missing,Missing,Missing
Health Net,24,P.O. Box 14702 ,,40512,LEXINGTON,KY ,800-852-5524,,Missing,Missing,Missing
HealthCare Partners Magan Medical Group,33,PO Box 7879 ,,90504,TORRANCE,CA ,310-965-1100,,Missing,Missing,Missing
Humana,35,PO Box 14601 ,,405124601,Lexington,KY ,877-691-1965,,Missing,Missing,Missing
IEHP Direct Claim (Non-State),46,PO Box 10129 ,,924230397,San Bernardino,CA ,,,Missing,Missing,Missing
IEHP Direct Claims (State),45,PO Box 10129 ,,924230397,San Bernardino,CA ,909-890-2034,,Missing,Missing,Missing
Inland Faculty Medical Group,20,952 S. Mount Vernon Ave ,,92324,COLTON,CA ,909-433-9111,,Missing,Missing,Missing
Inter Valley Health Plan,47,PO box 6002 ,,91769,POMONA,CA,909-623-6333,,Missing,Missing,Missing
Intravenous Therapy Services,14,320 S. Flower St. ,,91502,BURBANK,CA,818-830-5335,,Missing,Missing,Missing
Liberty Mutual,43,PO Box 7203 ,,40742,LONDON,KY ,,,Missing,Missing,Missing
MEDICARE PPS,1,,,,,,,,Missing,Missing,Missing
Molina Healthcare of California,31,One Golden Shore Drive ,,90802,LONG BEACH,CA,,,Missing,Missing,Missing
NALC,21,,,,,,,,Missing,Missing,Missing
National Automatic Sprink,37,PO Box 60007 ,,90609,WHITTIER,CA,,,Missing,Missing,Missing
O/P MEDI-CAL,2,PO Box 50010 ,,92412,SAN BERNARDINO,CA,909-383-4192,,Missing,Missing,Missing
Other,25,,,,,,,,Missing,Missing,Missing
Other Home Health Agency,18,,,,,,,,Missing,Missing,Missing
Pacificare/Secure Horizons,22,PO Box 6006 ,,90630,CYPRESS,CA,800-542-8789,,Missing,Missing,Missing
Primecare,16,10801 6th St. ,Suite 220 ,91730,RANCHO CUCAMONGA,CA,,,Missing,Missing,Missing
Primecare of Inland Valley,26,PO Box 6903 ,,91729,RANCHO CUCAMONGA,CA,,,Missing,Missing,Missing
Progressive Medical Inc.,32,250 Progressive Way ,,430828699,Westerville,OH,,,Missing,Missing,Missing
Prudent Buyer Plan,6,P.O. Box 6010 ,,90630,CYPRESS,CA,,,Missing,Missing,Missing
San Mateo Health Commission,38,701 Gateway Blvd.,Suite 400 ,94080,SOUTH SAN FRANCISCO,CA,,,Missing,Missing,Missing
Scan,36,PO Box 22698 ,,90801,LONG BEACH,CA,800-559-3500,,Missing,Missing,Missing
Secure Horizons,28,PO Box 489 ,,90630,CYPRESS,CA,888-866-8297,,Missing,Missing,Missing
SOS International,3,,,,,,011-457-0105,,Missing,Missing,Missing
"Southeast Medical Services, Inc.",48,337 S. North Lake Blvd. ,,32701,ALTAMONTE SPRINGS,FL,,,Missing,Missing,Missing
Specialty Risk Services,42,PO Box 14214 ,,40512,LEXINGTON,KY,,,Missing,Missing,Missing
Tech Health,9,8800 Grand Oak Circle ,,336372003,TAMPA,FL,877-611-3415,,Missing,Missing,Missing
United HealthCare,5,P.O. Box 30555 ,,84130,SALT LAKE CITY,UT,877-842-3210,,Missing,Missing,Missing
Village Health - Scan,41,PO Box 22698 ,,908015616,Long Beach,CA,800-399-7226,,Missing,Missing,Missing
Walgreens Home Care,13,2045 California Avenue ,,92881,Corona,CA,800-919-4472,,Missing,Missing,Missing
WPS/Tricare for Life,11,P.O. Box 7890 ,,53707,MADISON,WI,866-773-0404,,Missing,Missing,Missing
